Model unknown

  Variables:
    x : Size=38080, Index=x_index
        Key                                : Lower : Value : Upper : Fixed : Stale : Domain
           ('45', 'Goe', 'HSU/Nu/GPG', 14) :     0 :  -0.0 :     1 : False : False : Boolean
           ('45', 'Goe', 'HSU/Nu/GPG', 15) :     0 :  -0.0 :     1 : False : False : Boolean
           ('45', 'Goe', 'HSU/Nu/GPG', 16) :     0 :  None :     1 : False :  True : Boolean
           ('45', 'Goe', 'HSU/Nu/GPG', 17) :     0 :  None :     1 : False :  True : Boolean
           ('45', 'Goe', 'HSU/Nu/GPG', 18) :     0 :  None :     1 : False :  True : Boolean
           ('45', 'Goe', 'HSU/Nu/GPG', 19) :     0 :   0.0 :     1 : False : False : Boolean
           ('45', 'Goe', 'HSU/Nu/GPG', 20) :     0 :   0.0 :     1 : False : False : Boolean
           ('45', 'Goe', 'HSU/Nu/GPG', 21) :     0 :  -0.0 :     1 : False : False : Boolean
           ('45', 'Goe', 'HSU/Nu/GPG', 22) :     0 :  -0.0 :     1 : False : False : Boolean
           ('45', 'Goe', 'HSU/Nu/GPG', 23) :     0 :  -0.0 :     1 : False : False : Boolean
           ('45', 'Goe', 'HSU/Nu/GPG', 24) :     0 :  -0.0 :     1 : False : False : Boolean
